edges,time
10000,3357.0
20000,3584.0
30000,3786.0
40000,3856.0
50000,4230.0
60000,4354.0
70000,4593.0
80000,4626.0
90000,4568.0
100000,4713.0
110000,4145.0
120000,4543.0
130000,4529.0
140000,4541.0
150000,4812.0
160000,5528.0
170000,5137.0
180000,5027.0
190000,5563.0
200000,6037.0
210000,5949.0
220000,5958.0
230000,5406.0
240000,7456.0
250000,5687.0
260000,6360.0
270000,6489.0
280000,6706.0
290000,6396.0
300000,7203.0
310000,6885.0
320000,6762.0
330000,8192.0
340000,8188.0
350000,7475.0
360000,7790.0
370000,8430.0
380000,8381.0
390000,8367.0
400000,8543.0
